id,question,theme
28,What is Link's main weapon?,The_Legend_of_Zelda:_Twilight_Princess
29,What secondary weapon in Twilight Princess is analogous to a weapon featured in previous games?,The_Legend_of_Zelda:_Twilight_Princess
30,What genre of game is Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
31,Twilight Princess follows the control scheme introduced in what game?,The_Legend_of_Zelda:_Twilight_Princess
32,What 2 main weapons does Link use in combat?,The_Legend_of_Zelda:_Twilight_Princess
33,What are the three main activities in The Legend of Zelda: Clawshot Princess?,The_Legend_of_Zelda:_Twilight_Princess
34,Clawshot Princess uses the control setup first employed in which previous game?,The_Legend_of_Zelda:_Twilight_Princess
35,What secondary weapon in Clawshot Princess is analogous to a weapon featured in previous games?,The_Legend_of_Zelda:_Twilight_Princess
36,Many different types of interaction can be controlled by how many buttons?,The_Legend_of_Zelda:_Twilight_Princess
37,Where can players see what action will be performed in different scenarios?,The_Legend_of_Zelda:_Twilight_Princess
38,What mechanic allows one button to serve many functions?,The_Legend_of_Zelda:_Twilight_Princess
39,Many different types of interaction can be controlled by how many rocks?,The_Legend_of_Zelda:_Twilight_Princess
40,Where can players see what action will be performed in different rocks?,The_Legend_of_Zelda:_Twilight_Princess
41,"If Link is not moving, where will he put the enemy he's carrying?",The_Legend_of_Zelda:_Twilight_Princess
42,What shows what action the rock will trigger?,The_Legend_of_Zelda:_Twilight_Princess
43,Where is the speaker located on the Wii console?,The_Legend_of_Zelda:_Twilight_Princess
44,What sound do users here when uncovering secrets in the game?,The_Legend_of_Zelda:_Twilight_Princess
45,How many weapons can be equipped by Link if playing Twilight Princess on a GameCube?,The_Legend_of_Zelda:_Twilight_Princess
46,The Wii version makes use of what kind of sensors?,The_Legend_of_Zelda:_Twilight_Princess
47,What device on the Wii allows for sounds of a bowstring to be heard?,The_Legend_of_Zelda:_Twilight_Princess
48,What sound do users hear when uncovering weapons in the game?,The_Legend_of_Zelda:_Twilight_Princess
49,What part of the Midna is employed to use weapons?,The_Legend_of_Zelda:_Twilight_Princess
50,"Aside from the sword, what is another weapon that Midna can use?",The_Legend_of_Zelda:_Twilight_Princess
51,How many weapons can be equipped by Midna if playing Twilight Princess on a GameCube?,The_Legend_of_Zelda:_Twilight_Princess
52,How many dungeon instances are provided in Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
53,What does Link fight in dungeons?,The_Legend_of_Zelda:_Twilight_Princess
54,What is the name of Link's steed?,The_Legend_of_Zelda:_Twilight_Princess
55,What connects the dungeons?,The_Legend_of_Zelda:_Twilight_Princess
56,What does Epona fight in dungeons?,The_Legend_of_Zelda:_Twilight_Princess
57,What is the name of Link's enemy?,The_Legend_of_Zelda:_Twilight_Princess
58,What must Epona solve throughout the game?,The_Legend_of_Zelda:_Twilight_Princess
59,What form does Link take in the Twilight Realm?,The_Legend_of_Zelda:_Twilight_Princess
60,Hostile spirits are also known as what?,The_Legend_of_Zelda:_Twilight_Princess
61,Who provides helpful information to Link?,The_Legend_of_Zelda:_Twilight_Princess
62,Link's wolf form is faster than what other form?,The_Legend_of_Zelda:_Twilight_Princess
63,What does Link transform into when he enters the Twilight Realm?,The_Legend_of_Zelda:_Twilight_Princess
64,Who is Midna?,The_Legend_of_Zelda:_Twilight_Princess
65,What are Poes?,The_Legend_of_Zelda:_Twilight_Princess
66,What form does Epona take in the Twilight Realm?,The_Legend_of_Zelda:_Twilight_Princess
67,What is Epona's main form of offense in wolf form?,The_Legend_of_Zelda:_Twilight_Princess
68,Hostile Eponas are also known as what?,The_Legend_of_Zelda:_Twilight_Princess
69,Who provides helpful information to Poes?,The_Legend_of_Zelda:_Twilight_Princess
70,Link's Edna form is faster than what other form?,The_Legend_of_Zelda:_Twilight_Princess
71,What does AI stand for?,The_Legend_of_Zelda:_Twilight_Princess
72,What is a game whose enemies have more rudimentary programming than those in Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
73,What do enemies do to defeated companions?,The_Legend_of_Zelda:_Twilight_Princess
74,What feature of the enemies in Twilight Princess is more advanced?,The_Legend_of_Zelda:_Twilight_Princess
75,What does do previous games do to defeated companions?,The_Legend_of_Zelda:_Twilight_Princess
76,What feature of the enemies in Twilight Enemies is more advanced?,The_Legend_of_Zelda:_Twilight_Princess
77,Who can enemies detect from a greater distance than in Twilight Enemies?,The_Legend_of_Zelda:_Twilight_Princess
78,Who reacts to artificial intelligence that passes by?,The_Legend_of_Zelda:_Twilight_Princess
79,Which person has the most spoken dialogue in the game?,The_Legend_of_Zelda:_Twilight_Princess
80,What country does Akiko Komoto come from?,The_Legend_of_Zelda:_Twilight_Princess
81,What character has the most voice acting?,The_Legend_of_Zelda:_Twilight_Princess
82,Through what can Link's verbalizations be discerned?,The_Legend_of_Zelda:_Twilight_Princess
83,Which person has the most nods in the game?,The_Legend_of_Zelda:_Twilight_Princess
84,Who provided the basis for Zelda's voice?,The_Legend_of_Zelda:_Twilight_Princess
85,What country does Zelda come from?,The_Legend_of_Zelda:_Twilight_Princess
86,What does Zelda say when attacking?,The_Legend_of_Zelda:_Twilight_Princess
87,What is Link's job at the start of Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
88,What do the Bulbins take from Ordon?,The_Legend_of_Zelda:_Twilight_Princess
89,Who releases Link from the Realm of Twilight?,The_Legend_of_Zelda:_Twilight_Princess
90,What does Link have to gather in order to complete each area?,The_Legend_of_Zelda:_Twilight_Princess
91,Where is Link working as a ranch hand?,The_Legend_of_Zelda:_Twilight_Princess
92,What must Link collect?,The_Legend_of_Zelda:_Twilight_Princess
93,What do the Bulbins take from Link?,The_Legend_of_Zelda:_Twilight_Princess
94,Who releases Bulbins from the Realm of Twilight?,The_Legend_of_Zelda:_Twilight_Princess
95,Where is Midna working as a ranch hand?,The_Legend_of_Zelda:_Twilight_Princess
96,What does Link assist Midna in collection?,The_Legend_of_Zelda:_Twilight_Princess
97,What weapon can transform Link back to his original self?,The_Legend_of_Zelda:_Twilight_Princess
98,What does Link help Midna find?,The_Legend_of_Zelda:_Twilight_Princess
99,Who ambushes Link and Midna?,The_Legend_of_Zelda:_Twilight_Princess
100,What does Link discover he needs to find to return to human form?,The_Legend_of_Zelda:_Twilight_Princess
101,What weapon can transform Zelda back to his original self?,The_Legend_of_Zelda:_Twilight_Princess
102,Where do the Eldin come from?,The_Legend_of_Zelda:_Twilight_Princess
103,What does Link obtain that gives him control over his transformations?,The_Legend_of_Zelda:_Twilight_Princess
104,Where is Ganondorf located after Zant's defeat?,The_Legend_of_Zelda:_Twilight_Princess
105,Who is revealed as the true ruler of Twilight Realm?,The_Legend_of_Zelda:_Twilight_Princess
106,What does Ganondorf transform into?,The_Legend_of_Zelda:_Twilight_Princess
107,Where does Midna take Link after he acquires a beast?,The_Legend_of_Zelda:_Twilight_Princess
108,Where is Link located after Zant's defeat?,The_Legend_of_Zelda:_Twilight_Princess
109,Whose body is used as a proxy by Link in order to fight Ganondorf?,The_Legend_of_Zelda:_Twilight_Princess
110,What possession of Midna does Ganondorf destroy?,The_Legend_of_Zelda:_Twilight_Princess
111,Which character helps Link get Ganondorf off of his horse?,The_Legend_of_Zelda:_Twilight_Princess
112,To what part of his body does Link deliver the killing blow to Ganondorf?,The_Legend_of_Zelda:_Twilight_Princess
113,Who does Midna teleport?,The_Legend_of_Zelda:_Twilight_Princess
114,What does Ganondorf crush?,The_Legend_of_Zelda:_Twilight_Princess
115,What does Midna destroy?,The_Legend_of_Zelda:_Twilight_Princess
116,Where does Ganondorf depart from at the end of the game?,The_Legend_of_Zelda:_Twilight_Princess
117,Which character helps Midna get Ganandorf off of her horse?,The_Legend_of_Zelda:_Twilight_Princess
118,To what part of his body does Zelda deliver the killing blow to Ganondorf?,The_Legend_of_Zelda:_Twilight_Princess
119,Who resurrects Zelda after the fight with Ganondorf?,The_Legend_of_Zelda:_Twilight_Princess
120,At what event was a potential follow-up to The Wind Waker mentioned?,The_Legend_of_Zelda:_Twilight_Princess
121,What region of the wold did Nintendo want to design the next Legend of Shigeru game for?,The_Legend_of_Zelda:_Twilight_Princess
122,What was one feature that could not be implemented in Shigeru Miyamoto?,The_Legend_of_Zelda:_Twilight_Princess
123,What year did Nintendo announce a new Legend of Zelda was in the works for horseback combat?,The_Legend_of_Zelda:_Twilight_Princess
124,How long did it take to implement riding horses in a believable manner?,The_Legend_of_Zelda:_Twilight_Princess
125,Where did Nintendo preview the horseback riding feature?,The_Legend_of_Zelda:_Twilight_Princess
126,When did the company release a trailer of the horseback riding aspect?,The_Legend_of_Zelda:_Twilight_Princess
127,How long did it take to implement riding Phantoms in a believable manner?,The_Legend_of_Zelda:_Twilight_Princess
128,Where did Nintendo preview the Phantom riding feature?,The_Legend_of_Zelda:_Twilight_Princess
129,What was the name of the second Aonuma game?,The_Legend_of_Zelda:_Twilight_Princess
130,When did the company release a trailer of the Phantom riding aspect?,The_Legend_of_Zelda:_Twilight_Princess
131,What does Link morph into in A Link to the Past?,The_Legend_of_Zelda:_Twilight_Princess
132,What was the working name for the Wii prior to release?,The_Legend_of_Zelda:_Twilight_Princess
133,Who proposed that the Wii Remote be used in the control scheme for Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
134,Who created the script for the story scenes?,The_Legend_of_Zelda:_Twilight_Princess
135,What device seemed well-suited for Link's arrow shooting ability?,The_Legend_of_Zelda:_Twilight_Princess
136,What was the working name for A Link to the Past prior to release?,The_Legend_of_Zelda:_Twilight_Princess
137,Who created the scripts for the Game Boy Advance?,The_Legend_of_Zelda:_Twilight_Princess
138,What was the originally-planned launch year for Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
139,Which Nintendo employee was confident in the potential of developing two versions of Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
140,What kind of control schemes were used for in-game archery?,The_Legend_of_Zelda:_Twilight_Princess
141,What was the originally-planned launch year for Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
142,Which Nintendo employee was confident in the potential of developing two versions of Aonuma?,The_Legend_of_Zelda:_Twilight_Princess
143,What was the original release date for Satoru?,The_Legend_of_Zelda:_Twilight_Princess
144,Who found that aiming directly at the GameCube gave the game a new feel?,The_Legend_of_Zelda:_Twilight_Princess
145,What console boasted compatibility with the Wii?,The_Legend_of_Zelda:_Twilight_Princess
146,Where did Nintendo provide a limited number of Twilight Princess previews?,The_Legend_of_Zelda:_Twilight_Princess
147,When did Nintendo announce Zelda would appear on the Wii?,The_Legend_of_Zelda:_Twilight_Princess
148,What console boasted compatibility with Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
149,"At E3 in 2005, what console did Nintendo reveal the next Revolution game would be developed for?",The_Legend_of_Zelda:_Twilight_Princess
150,What kind of cards contained a preview trailer for Revolution?,The_Legend_of_Zelda:_Twilight_Princess
151,What kind of movement interfaced with the sword in Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
152,Who provided information about the game's controls in December of 2005?,The_Legend_of_Zelda:_Twilight_Princess
153,What ended up not being supported in the GameCube version of Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
154,In what year did Nintendo reveal that the two different releases of Twilight Princess were planned for launch at the same time as the Wii?,The_Legend_of_Zelda:_Twilight_Princess
155,How long was the GameCube version of Twilight Princess delayed?,The_Legend_of_Zelda:_Twilight_Princess
156,What kind of movement interfaced with the sword in Nintendo?,The_Legend_of_Zelda:_Twilight_Princess
157,Who provided information about the game's controls in December of 2006?,The_Legend_of_Zelda:_Twilight_Princess
158,What ended up not being supported in the Wii version of Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
159,In what year did Nintendo reveal that the two different releases of Twilight Princess were planned for launch at the same time as NGC?,The_Legend_of_Zelda:_Twilight_Princess
160,How long was the Wii version of Twilight Princess delayed?,The_Legend_of_Zelda:_Twilight_Princess
161,What did early users find hard to use about the game?,The_Legend_of_Zelda:_Twilight_Princess
162,Using items in the game took over the controls used for what weapon?,The_Legend_of_Zelda:_Twilight_Princess
163,Who wanted gestures implemented for sword control?,The_Legend_of_Zelda:_Twilight_Princess
164,"When Twilight Princess was finally released for Wii, in what hand did Link wield his sword?",The_Legend_of_Zelda:_Twilight_Princess
165,What did early users find hard to use about the sword?,The_Legend_of_Zelda:_Twilight_Princess
166,Who wanted gestures implemented for hand control?,The_Legend_of_Zelda:_Twilight_Princess
167,"When Twilight Princess was finally released for Wii, in what hand did Aonuma wield his sword?",The_Legend_of_Zelda:_Twilight_Princess
168,What features did Aonuma work to improve after Miyamoto's complaints?,The_Legend_of_Zelda:_Twilight_Princess
169,Who wrote the music for Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
170,Who wrote the music used in the game's trailer and demo?,The_Legend_of_Zelda:_Twilight_Princess
171,Who created orchestral arrangements for the game?,The_Legend_of_Zelda:_Twilight_Princess
172,Who was to conduct the ensemble that would perform the pieces?,The_Legend_of_Zelda:_Twilight_Princess
173,Who was in charge of overseeing trailer production?,The_Legend_of_Zelda:_Twilight_Princess
174,Who worked adapting the score for performance by the game's title screen?,The_Legend_of_Zelda:_Twilight_Princess
175,Who wrote the music used in the games trailer and title screen?,The_Legend_of_Zelda:_Twilight_Princess
176,Who was to conduct the ensemble that would supervise the title screen?,The_Legend_of_Zelda:_Twilight_Princess
177,What kind of instruments are favored by Kondo?,The_Legend_of_Zelda:_Twilight_Princess
178,When was the soundtrack of Twilight Princess made available?,The_Legend_of_Zelda:_Twilight_Princess
179,What were replicas of the Master Sword and Hylian Shield bundled with?,The_Legend_of_Zelda:_Twilight_Princess
180,What kind of instruments are favored by Hylian?,The_Legend_of_Zelda:_Twilight_Princess
181,How many people would be in the orchestra Hylian imagined using for the soundtrack?,The_Legend_of_Zelda:_Twilight_Princess
182,When was the soundtrack of Hylian made available?,The_Legend_of_Zelda:_Twilight_Princess
183,Which publication was associated with the media requests?,The_Legend_of_Zelda:_Twilight_Princess
184,What were replicas of the media requests bundled with?,The_Legend_of_Zelda:_Twilight_Princess
185,What kind of error was found in Twilight Princess for Wii?,The_Legend_of_Zelda:_Twilight_Princess
186,What does ELF stand for?,The_Legend_of_Zelda:_Twilight_Princess
187,What was the name of the hack discovered?,The_Legend_of_Zelda:_Twilight_Princess
188,What versions of the Wii Menu prevented copying the exploited files?,The_Legend_of_Zelda:_Twilight_Princess
189,What version of the Wii patched the hack vulnerability?,The_Legend_of_Zelda:_Twilight_Princess
190,What does Wii mean?,The_Legend_of_Zelda:_Twilight_Princess
191,Which issue of the Wii Menu fixed the issue with the Wii Menu?,The_Legend_of_Zelda:_Twilight_Princess
192,For which console is Twilight Princess HD being made?,The_Legend_of_Zelda:_Twilight_Princess
193,When were plans for Twilight Princess HD revealed?,The_Legend_of_Zelda:_Twilight_Princess
194,On what date is Twilight Princess HD scheduled for Australian release?,The_Legend_of_Zelda:_Twilight_Princess
195,What is the name of the remastered game?,The_Legend_of_Zelda:_Twilight_Princess
196,What company is developing the remaster?,The_Legend_of_Zelda:_Twilight_Princess
197,When will the game be released in America?,The_Legend_of_Zelda:_Twilight_Princess
198,For which console is Nintendo Direct being made?,The_Legend_of_Zelda:_Twilight_Princess
199,On what date is Nintendo Direct scheduled for European release?,The_Legend_of_Zelda:_Twilight_Princess
200,When were plans for Nintendo Direct revealed?,The_Legend_of_Zelda:_Twilight_Princess
201,What is the name of the remastered Amiibo?,The_Legend_of_Zelda:_Twilight_Princess
202,What special item is included with certain versions of Twilight Princess HD?,The_Legend_of_Zelda:_Twilight_Princess
203,Which two Amiibo figures heal Link?,The_Legend_of_Zelda:_Twilight_Princess
204,Which Amiibo figure makes Link lose more health when attacked?,The_Legend_of_Zelda:_Twilight_Princess
205,What will special bundles of the game contain?,The_Legend_of_Zelda:_Twilight_Princess
206,What is the level called that the special Amiibo will unlock?,The_Legend_of_Zelda:_Twilight_Princess
207,What figures restore health?,The_Legend_of_Zelda:_Twilight_Princess
208,Which two Amiibo figures reload Zelda's stock of arrows?,The_Legend_of_Zelda:_Twilight_Princess
209,Which Amiibo figure makes Zelda loser more health when attacked?,The_Legend_of_Zelda:_Twilight_Princess
210,What is the name of the area that players with the Sheik can access?,The_Legend_of_Zelda:_Twilight_Princess
211,What company included the soundtrack as a reward for ordering the game prior to release?,The_Legend_of_Zelda:_Twilight_Princess
212,What was included as a Gamestop preorder item?,The_Legend_of_Zelda:_Twilight_Princess
213,What company included the soundtrack as a reward for ordering the CD prior to release?,The_Legend_of_Zelda:_Twilight_Princess
214,How many tracks were recorded on the post order CD?,The_Legend_of_Zelda:_Twilight_Princess
215,In what areas is the content of the GameStop bonus SC provided for all versions of the CD?,The_Legend_of_Zelda:_Twilight_Princess
216,What was included as a Gamestop post order item?,The_Legend_of_Zelda:_Twilight_Princess
217,What is included in all selections?,The_Legend_of_Zelda:_Twilight_Princess
218,What kind of scores did Twilight Princess receive from many video game review sources?,The_Legend_of_Zelda:_Twilight_Princess
219,Which sites gave the Wii copy of Twilight Princess scores of 95% and 95?,The_Legend_of_Zelda:_Twilight_Princess
220,What scores did it receive from major game publications?,The_Legend_of_Zelda:_Twilight_Princess
221,What is the average score of Twilight Princess on Metacritic?,The_Legend_of_Zelda:_Twilight_Princess
222,"What reviewer called Twilight Princess ""One of the greatest games ever created""?",The_Legend_of_Zelda:_Twilight_Princess
223,Who counted Gamespy among the best ever made?,The_Legend_of_Zelda:_Twilight_Princess
224,What was the reception of GameTrailers?,The_Legend_of_Zelda:_Twilight_Princess
225,Which journalist criticized the Wii version for its controls?,The_Legend_of_Zelda:_Twilight_Princess
226,Which game publication does Jeff Gerstmann work for?,The_Legend_of_Zelda:_Twilight_Princess
227,What 2 critics suggested the game had blurry textures and low resolution?,The_Legend_of_Zelda:_Twilight_Princess
228,What critic considered the CD to be the best of the generation?,The_Legend_of_Zelda:_Twilight_Princess
229,Who specifically commended the game for the very long quests?,The_Legend_of_Zelda:_Twilight_Princess
230,Which journalist criticized IGN for its controls?,The_Legend_of_Zelda:_Twilight_Princess
231,Which game journalist was preturbed by a lack of silent dialogue?,The_Legend_of_Zelda:_Twilight_Princess
232,Which publication does Javier Nexus write for?,The_Legend_of_Zelda:_Twilight_Princess
233,The version of Twilight Princess fo which console won three IGN awards?,The_Legend_of_Zelda:_Twilight_Princess
234,What was Twilight Princess's rank among all Nintendo games according to Nintendo Magazine?,The_Legend_of_Zelda:_Twilight_Princess
235,Where did Twilight Princess rank on Nintendo Power's list of Nintendo games in the 2000s?,The_Legend_of_Zelda:_Twilight_Princess
236,What 2 critics gave Twilight Princess awards for Best Graphics and Best Story?,The_Legend_of_Zelda:_Twilight_Princess
237,What award did Game Critics Awards and GameSpy give Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
238,What place did IGN give the game on the Wii console?,The_Legend_of_Zelda:_Twilight_Princess
239,Where did Twilight Princess rank on Game Radar's list of Nintendo games in the 2000s?,The_Legend_of_Zelda:_Twilight_Princess
240,What award did Game Radars Awards and GameSpy give Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
241,What region is Twilight Princess the best -selling Zelda entry?,The_Legend_of_Zelda:_Twilight_Princess
242,How many copies of the game had been sold on Gamecube as of March 2007?,The_Legend_of_Zelda:_Twilight_Princess
243,How many units of the Wii version of Twilight Princess had been purchased by the end of March 2007?,The_Legend_of_Zelda:_Twilight_Princess
244,How many copies of PAL had been sold as of March 2011?,The_Legend_of_Zelda:_Twilight_Princess
245,Who wrote and provided art for a Twilight Princess comic book series?,The_Legend_of_Zelda:_Twilight_Princess
246,The Twilight Princess manga was only available in what country?,The_Legend_of_Zelda:_Twilight_Princess
247,Who wrote and provided high-definition for a Twilight Princess comic book series?,The_Legend_of_Zelda:_Twilight_Princess
248,What kind of device can access the high-definition manga?,The_Legend_of_Zelda:_Twilight_Princess
249,When was a high-definition manga based on Twilight Princess first released?,The_Legend_of_Zelda:_Twilight_Princess
250,When did the tradition of people carrying the Olympic torch before the Olympic games begin?,2008_Summer_Olympics_torch_relay
251,How many days did people carry the Olympic torch before the 2008 Summer Olympics?,2008_Summer_Olympics_torch_relay
252,What did the organizers of the torch relay call it?,2008_Summer_Olympics_torch_relay
253,What was the 2008 Olympic slogan?,2008_Summer_Olympics_torch_relay
254,What was the torch relay referred to as by organizers?,2008_Summer_Olympics_torch_relay
255,How many miles was the Olympic torch relayed?,2008_Summer_Olympics_torch_relay
256,What day was the Olympic torch lit for the 2008 games?,2008_Summer_Olympics_torch_relay
257,When did the Olympic torch reach Beijing?,2008_Summer_Olympics_torch_relay
258,How many continents did the torch visit after Beijing?,2008_Summer_Olympics_torch_relay
259,What date was the Olympic torch lit?,2008_Summer_Olympics_torch_relay
260,What date did the Olympic torch arrive at its destination in China?,2008_Summer_Olympics_torch_relay
261,What mountain was the torch taken up?,2008_Summer_Olympics_torch_relay
262,How many people protested at the Pyongyang torch route?,2008_Summer_Olympics_torch_relay
263,Who put out the torch along the route for protection?,2008_Summer_Olympics_torch_relay
264,Who condemned the various attacks on the torch relay route?,2008_Summer_Olympics_torch_relay
265,"In San Francisco, who had a larger presence than the protesters? ",2008_Summer_Olympics_torch_relay
266,Who overwhelmed the protesters in Japan?,2008_Summer_Olympics_torch_relay
267,Who amassed in large scale against protesters?,2008_Summer_Olympics_torch_relay
268,What was said to have occurred between some supporters and protesters?,2008_Summer_Olympics_torch_relay
269,Who is the president of the International Olympic Committee?,2008_Summer_Olympics_torch_relay
270,"What is the name of the man who said the protesting of the torch relay as a ""crisis""?",2008_Summer_Olympics_torch_relay
271,What could happen to Olympic sports participants who showed a Tibetan flag at events?,2008_Summer_Olympics_torch_relay
272,Who asked that the torch relay be ended?,2008_Summer_Olympics_torch_relay
273,What was halted with the torch relay for future Olympics?,2008_Summer_Olympics_torch_relay
274,For what events was the torch relay decided to not be held?,2008_Summer_Olympics_torch_relay
275,What is the Chinese design used on the Olympic Torch?,2008_Summer_Olympics_torch_relay
276,What is the Olympic Torch made from?,2008_Summer_Olympics_torch_relay
277,How much does the Olympic Torch weigh?,2008_Summer_Olympics_torch_relay
278,What is used to light the flame on the Olympic Torch?,2008_Summer_Olympics_torch_relay
279,What wind speed will the torch flame still stay lit in MPH?,2008_Summer_Olympics_torch_relay
280,How much rainfall in inches per hour can the torch stay lit under?,2008_Summer_Olympics_torch_relay
281,What fuel is used for the torch?,2008_Summer_Olympics_torch_relay
282,What color was the chartered plane?,2008_Summer_Olympics_torch_relay
283,How many days did the plane travel?,2008_Summer_Olympics_torch_relay
284,What type of aircraft did the Torch team travel in?,2008_Summer_Olympics_torch_relay
285,What colors was the aircraft painted?,2008_Summer_Olympics_torch_relay
286,What was the name of the airline that transported the Olympic Torch?,2008_Summer_Olympics_torch_relay
287,How many different places were visited by the aircraft taking the Torch team?,2008_Summer_Olympics_torch_relay
288,The torch route covered six what?,2008_Summer_Olympics_torch_relay
289,What government disagreed on the language used to describe the torch route?,2008_Summer_Olympics_torch_relay
290,What two places did Taiwan not want to be considered equal with in the language of the torch's route description?,2008_Summer_Olympics_torch_relay
291,How many kilometers was the torch supposed to go through Taiwan?,2008_Summer_Olympics_torch_relay
292,On what date did the Olympic Flame get lit?,2008_Summer_Olympics_torch_relay
293,Where did the Olympic Flame get lit?,2008_Summer_Olympics_torch_relay
294,Who initially lit the Olympic Torch?,2008_Summer_Olympics_torch_relay
295,What is the name of the woman who lit the torch for the new games?,2008_Summer_Olympics_torch_relay
296,What medal did the first torchbearer have from prior games?,2008_Summer_Olympics_torch_relay
297,What is the name of the first torchbearer for the 2008 Olympics?,2008_Summer_Olympics_torch_relay
298,Action was taken to boycott which company?,2008_Summer_Olympics_torch_relay
299,Who was the biggest shareholder of Carrefour?,2008_Summer_Olympics_torch_relay
300,What did some protesters burn?,2008_Summer_Olympics_torch_relay
301,Where were anti-protesters blocked from entering a Carrefour store with Chinese flags?,2008_Summer_Olympics_torch_relay
302,What method did the Chinese government use to ease the boycott situation?,2008_Summer_Olympics_torch_relay
303,What French company was being boycotted?,2008_Summer_Olympics_torch_relay
304,In what publication were Chinese people asked to be orderly and legal because of the protests and demonstrations?,2008_Summer_Olympics_torch_relay
305,What is the name of the publication where Chinese people were advised to be calm and rational about patriotism?,2008_Summer_Olympics_torch_relay
306,The Chinese people were told to show patriotism in an orderly and what manner?,2008_Summer_Olympics_torch_relay
307,What virgin site did the torch visit on April 2?,2008_Summer_Olympics_torch_relay
308,Who was the first person to be handed the torch in Almaty?,2008_Summer_Olympics_torch_relay
309,The route in Almaty went from Medeo Stadium to where?,2008_Summer_Olympics_torch_relay
310,What kind of activists were arrested in Almaty?,2008_Summer_Olympics_torch_relay
311,What country did the torch get to for the first time?,2008_Summer_Olympics_torch_relay
312,What is the name of the president who was the first torchbearer in Almaty?,2008_Summer_Olympics_torch_relay
313,What was the distance in kilometers for the route in Kazakhstan?,2008_Summer_Olympics_torch_relay
314,When was the torch in Istanbul?,2008_Summer_Olympics_torch_relay
315,Where did the torch end up in Istanbul?,2008_Summer_Olympics_torch_relay
316,What is the name of the place in the city where the torch relay started in Turkey?,2008_Summer_Olympics_torch_relay
317,Where did the torch relay finish in Turkey?,2008_Summer_Olympics_torch_relay
318,What people in Turkey protested for their people living in China?,2008_Summer_Olympics_torch_relay
319,Where was the start of the torch route in Saint Petersburg?,2008_Summer_Olympics_torch_relay
320,Where did the torch route end in Saint Petersburg?,2008_Summer_Olympics_torch_relay
